,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
628,Temple,20,Syracuse,38,1
629,Kent,28,Ohio,6,1
630,Iowa St,24,West Virginia,31,1
631,East Carolina,65,Marshall,59,1
632,Louisiana,52,South Alabama,30,1
633,Tennessee,37,Kentucky,17,1
634,Georgia,42,Georgia Tech,10,1
635,Texas A&M,59,Missouri,29,1
636,Hawaii,48,UNLV,10,1
637,Wake Forest,21,Vanderbilt,55,1
638,Virginia Tech,17,Virginia,14,1
639,Houston,40,Tulane,17,1
640,UTEP,24,Rice,33,1
641,Memphis,42,Southern Miss,24,1
642,MTSU,24,Troy,21,1
643,Minnesota,10,Michigan St,26,1
644,Mississippi,41,Mississippi St,24,1
645,Louisville,20,Connecticut,23,1
646,Florida Intl,17,ULM,23,1
647,Ohio St,26,Michigan,21,1
648,Oklahoma,51,Oklahoma St,48,1
649,Pittsburgh,27,Rutgers,6,1
650,Purdue,56,Indiana,35,1
651,Oregon St,24,Oregon,48,1
652,Penn St,24,Wisconsin,21,1
653,Northwestern,50,Illinois,14,1
654,NC State,27,Boston College,10,1
655,North Carolina,45,Maryland,38,1
656,Florida St,26,Florida,37,1
657,UCF,49,UAB,24,1
658,Alabama,49,Auburn,0,1
659,SMU,35,Tulsa,27,1
660,USC,13,Notre Dame,22,1
661,Duke,45,Miami FL,52,1
662,Wyoming,28,San Diego St,42,1
663,Colorado St,24,New Mexico,20,1
664,Clemson,17,South Carolina,27,1
665,UCLA,17,Stanford,35,1
666,Baylor,52,Texas Tech,45,0
667,WKU,25,North Texas,24,1
668,UT San Antonio,38,Texas St,31,1
669,Fresno St,48,Air Force,15,1
670,New Mexico St,14,BYU,50,1
671,San Jose St,52,Louisiana Tech,43,1
672,Rutgers,17,Louisville,20,1
673,N Illinois,44,Kent,37,0
674,Stanford,27,UCLA,24,1
675,South Florida,3,Pittsburgh,27,1
676,FL Atlantic,21,Louisiana,35,1
677,Nevada,21,Boise St,27,1
678,Arkansas St,45,MTSU,0,1
679,Baylor,41,Oklahoma St,34,1
680,Connecticut,17,Cincinnati,34,1
681,West Virginia,59,Kansas,10,1
682,TCU,17,Oklahoma,24,1
683,Kansas St,42,Texas,24,1
684,Hawaii,23,South Alabama,7,1
685,Texas St,66,New Mexico St,28,1
686,Alabama,32,Georgia,28,0
687,Florida St,21,Georgia Tech,15,0
688,Tulsa,33,UCF,27,1
689,Wisconsin,70,Nebraska,31,0
690,Navy,17,Army,13,0
691,Arizona,49,Nevada,48,0
692,Utah St,41,Toledo,15,0
693,San Diego St,6,BYU,23,1
694,UCF,38,Ball St,17,0
695,Boise St,28,Washington,26,0
696,Louisiana,43,East Carolina,34,0
697,SMU,43,Fresno St,10,0
698,C Michigan,24,WKU,21,0
699,San Jose St,29,Bowling Green,20,0
700,Cincinnati,48,Duke,34,0
701,Baylor,49,UCLA,26,0
702,Ohio,45,ULM,14,0
703,Texas Tech,34,Minnesota,31,0
704,Virginia Tech,13,Rutgers,10,0
705,Arizona St,62,Navy,28,0
706,Rice,33,Air Force,14,0
707,Syracuse,38,West Virginia,14,0
