Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Hawaii,21,Fresno St,31,1
Colorado St,52,Boise St,59,1
Akron,37,Ohio,34,1
Bowling Green,37,Toledo,66,1
Kent,23,C Michigan,42,1
Miami OH,24,E Michigan,27,1
N Illinois,35,W Michigan,31,1
Ball St,24,Buffalo,40,1
South Florida,27,Tulsa,20,1
New Mexico,35,UNLV,38,1
WKU,41,MTSU,38,1
Clemson,61,Citadel,3,1
Florida St,77,Delaware St,6,1
North Carolina,65,W Carolina,10,1
South Carolina,31,Wofford,10,1
Alabama,56,Mercer,0,1
Boston College,39,Connecticut,16,0
Duke,43,Georgia Tech,20,1
East Carolina,48,Cincinnati,20,1
Florida,36,UAB,7,1
FL Atlantic,52,Florida Intl,24,1
Georgia,42,Kentucky,13,1
Indiana,41,Rutgers,0,1
Louisville,56,Syracuse,10,1
Miami FL,44,Virginia,28,1
Michigan St,17,Maryland,7,1
Ohio St,52,Illinois,14,1
Old Dominion,24,Rice,21,1
Penn St,56,Nebraska,44,1
Temple,19,UCF,45,1
Virginia Tech,20,Pittsburgh,14,1
Wake Forest,30,NC State,24,1
West Virginia,14,Texas,28,1
Arkansas,21,Mississippi St,28,1
Arkansas St,30,Texas St,12,1
Auburn,42,ULM,14,1
Baylor,13,Iowa St,23,1
Colorado St,42,San Jose St,14,1
Iowa,15,Purdue,24,1
Kansas,3,Oklahoma,41,1
Louisiana,47,New Mexico St,34,1
Memphis,66,SMU,45,1
North Texas,52,Army,49,1
Northwestern,39,Minnesota,0,1
Oklahoma St,40,Kansas St,45,1
Mississippi,24,Texas A&M,31,1
Southern Miss,66,Charlotte,21,1
Tennessee,10,LSU,30,1
Texas Tech,3,TCU,27,1
Tulane,20,Houston,17,1
UT San Antonio,9,Marshall,7,1
Vanderbilt,17,Missouri,45,1
Wisconsin,24,Michigan,10,1
BYU,10,Massachusetts,16,1
Boise St,44,Air Force,19,1
UTEP,21,Louisiana Tech,42,1
Utah St,38,Hawaii,0,1
Wyoming,7,Fresno St,13,1
Ga Southern,52,South Alabama,0,1
Idaho,7,Coastal Car,13,1
Oregon,48,Arizona,28,1
Oregon St,24,Arizona St,40,1
Stanford,17,California,14,1
USC,28,UCLA,23,1
Washington,33,Utah,30,1
Notre Dame,24,Navy,17,1
San Diego St,42,Nevada,23,1
Akron,24,Kent,14,1
Ball St,7,Miami OH,28,1
E Michigan,34,Bowling Green,31,1
Mississippi St,28,Mississippi,31,1
Buffalo,31,Ohio,24,1
C Michigan,31,N Illinois,24,1
Pittsburgh,24,Miami FL,14,1
Toledo,37,W Michigan,10,1
UCF,49,South Florida,42,1
Virginia,0,Virginia Tech,10,1
Houston,24,Navy,14,1
Nebraska,14,Iowa,56,1
TCU,45,Baylor,22,1
Texas,23,Texas Tech,27,1
San Diego St,35,New Mexico,10,1
Florida Intl,41,WKU,17,1
Arkansas,45,Missouri,48,1
Troy,62,Texas St,9,1
UCLA,30,California,27,1
Charlotte,12,FL Atlantic,31,1
Cincinnati,22,Connecticut,21,1
Florida,22,Florida St,38,1
Georgia St,10,Appalachian St,31,1
Georgia Tech,7,Georgia,38,1
Kentucky,17,Louisville,44,1
Marshall,27,Southern Miss,28,1
Maryland,3,Penn St,66,1
Michigan,20,Ohio St,31,1
NC State,33,North Carolina,21,1
Purdue,31,Indiana,24,1
Rutgers,7,Michigan St,40,1
South Carolina,10,Clemson,34,1
Syracuse,14,Boston College,42,1
Tennessee,24,Vanderbilt,42,1
Wake Forest,23,Duke,31,1
Auburn,26,Alabama,14,1
Illinois,7,Northwestern,42,1
Kansas St,20,Iowa St,19,1
LSU,45,Texas A&M,21,1
Louisiana,24,Ga Southern,34,1
Louisiana Tech,20,UT San Antonio,6,1
ULM,50,Arkansas St,67,1
Memphis,70,East Carolina,13,1
MTSU,41,Old Dominion,10,1
Minnesota,0,Wisconsin,31,1
Oklahoma,59,West Virginia,31,1
Oklahoma St,58,Kansas,17,1
Rice,14,North Texas,30,1
SMU,41,Tulane,38,1
Tulsa,22,Temple,43,1
